# 2026-asicsmeta-full-1.mp4 · Face + Person · litert_npu
# passages=312 movedThrough=46 captured=33 chunks=14
# a track is one continuous sighting, not one person — bystanders are tracked, chunk boundaries split a runner in two, and there is no re-identification
chunk,track,firstUs,lastUs,durationUs,frames,firstX,firstY,lastX,lastY,velX,velY,speed,directionDeg,direction,displacement,closestToCentre,meanHeight,captured,photos
2,19,9733555,9733555,0,1,0.4211,0.1750,0.4211,0.1750,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3344,0.2333,0,0
3,2,2266666,2533333,266667,3,0.3797,0.2528,0.2125,0.2667,0.0000,0.0000,0.0000,0.0,L→R,0.1678,0.2749,0.4833,0,0
3,1,2266666,3333333,1066667,6,0.8016,0.2417,0.4891,0.2708,0.0000,0.0000,0.0000,0.0,L→R,0.3139,0.2294,0.3699,0,0
3,3,2266666,3333333,1066667,5,0.2625,0.0986,0.3477,0.1556,0.0000,0.0000,0.0000,0.0,L→R,0.1024,0.3744,0.1939,0,0
3,4,2266666,4000111,1733445,7,0.0875,0.0986,0.0875,0.0986,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5724,0.1099,0,0
3,5,2533333,2533333,0,1,0.4180,0.1806,0.4180,0.1806,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3298,0.2722,0,0
3,6,3200000,3333333,133333,2,0.4211,0.1792,0.4148,0.1819,0.0000,0.0000,0.0000,0.0,static,0.0068,0.3293,0.2667,0,0
3,7,3333333,3333333,0,1,0.2727,0.1250,0.2727,0.1250,0.0000,0.0000,0.0000,0.0,static,0.0000,0.4385,0.1833,0,0
3,8,3600111,3600111,0,1,0.3172,0.3292,0.3172,0.3292,0.0000,0.0000,0.0000,0.0,static,0.0000,0.2502,0.6583,0,0
3,9,4000111,4000111,0,1,0.3477,0.1556,0.3477,0.1556,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3766,0.2056,0,0
3,10,4000111,4000111,0,1,0.2828,0.1222,0.2828,0.1222,0.0000,0.0000,0.0000,0.0,static,0.0000,0.4358,0.1778,0,0
3,11,4000111,4000111,0,1,0.4273,0.1194,0.4273,0.1194,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3874,0.1278,0,0
3,12,5200111,7333555,2133444,8,0.3555,0.1556,0.3516,0.1583,0.0000,0.0000,0.0000,0.0,static,0.0048,0.3710,0.1997,0,0
3,13,5200111,7333555,2133444,10,0.0859,0.0986,0.0891,0.1000,0.0000,0.0000,0.0000,0.0,static,0.0034,0.5715,0.1114,0,0
3,14,5200111,7200111,2000000,9,0.2852,0.1167,0.2859,0.1250,0.0000,0.0000,0.0000,0.0,static,0.0084,0.4210,0.1617,0,0
3,17,5733444,5733444,0,1,0.4852,0.1139,0.4852,0.1139,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3864,0.0889,0,0
3,15,5733444,7333555,1600111,9,0.9625,0.2750,0.4547,0.4028,0.0000,0.0000,0.0000,0.0,L→R,0.5236,0.1073,0.4552,1,3
3,16,5733444,7200111,1466667,7,0.4227,0.1722,0.4203,0.1792,0.0000,0.0000,0.0000,0.0,static,0.0073,0.3306,0.2409,0,0
4,4,1600000,2000000,400000,2,0.4250,0.1125,0.4266,0.1111,0.0000,0.0000,0.0000,0.0,static,0.0021,0.3947,0.1069,0,0
4,1,1600000,3200000,1600000,8,0.9539,0.2333,0.6906,0.2708,0.0000,0.0000,0.0000,0.0,L→R,0.2659,0.2981,0.3184,1,1
4,2,1600000,3200000,1600000,8,0.3477,0.1486,0.3461,0.1514,0.0000,0.0000,0.0000,0.0,static,0.0032,0.3792,0.2003,0,0
4,3,1600000,3200000,1600000,8,0.0859,0.1000,0.0875,0.0986,0.0000,0.0000,0.0000,0.0,static,0.0021,0.5735,0.1094,0,0
4,5,2933333,3066666,133333,2,0.4234,0.1111,0.4266,0.1111,0.0000,0.0000,0.0000,0.0,static,0.0031,0.3958,0.1083,0,0
4,6,3066666,3200000,133334,2,0.4883,0.1250,0.4883,0.1194,0.0000,0.0000,0.0000,0.0,static,0.0056,0.3752,0.0778,0,0
4,7,3866777,3866777,0,1,0.4516,0.3361,0.4516,0.3361,0.0000,0.0000,0.0000,0.0,static,0.0000,0.1709,0.6056,1,1
4,8,3866777,3866777,0,1,0.0875,0.1000,0.0875,0.1000,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5746,0.1111,0,0
4,9,3866777,4266777,400000,2,0.3484,0.1583,0.3492,0.1528,0.0000,0.0000,0.0000,0.0,static,0.0056,0.3738,0.2222,0,0
4,10,4266777,4266777,0,1,0.1813,0.3847,0.1813,0.3847,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3390,0.7694,0,0
4,11,4266777,4266777,0,1,0.4273,0.1097,0.4273,0.1097,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3970,0.1083,0,0
4,12,6666777,7466777,800000,3,0.3477,0.1500,0.3477,0.1556,0.0000,0.0000,0.0000,0.0,static,0.0056,0.3766,0.2111,0,0
4,13,6666777,7466777,800000,3,0.4305,0.1153,0.4313,0.1139,0.0000,0.0000,0.0000,0.0,static,0.0016,0.3910,0.1130,0,0
4,14,6666777,7466777,800000,3,0.0859,0.0958,0.0859,0.0986,0.0000,0.0000,0.0000,0.0,static,0.0028,0.5767,0.1093,0,0
4,15,7066777,7066777,0,1,0.1945,0.0889,0.1945,0.0889,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5122,0.1333,0,0
4,16,7066777,7466777,400000,2,0.8727,0.2806,0.8156,0.2250,0.0000,0.0000,0.0000,0.0,static,0.0796,0.4186,0.2472,0,0
4,17,9333555,10400222,1066667,5,0.3469,0.1556,0.3477,0.1556,0.0000,0.0000,0.0000,0.0,static,0.0008,0.3760,0.2083,0,0
4,18,9333555,10400222,1066667,5,0.0875,0.1000,0.0859,0.0986,0.0000,0.0000,0.0000,0.0,static,0.0021,0.5735,0.1089,0,0
4,19,9333555,10400222,1066667,5,0.4219,0.1819,0.4219,0.1875,0.0000,0.0000,0.0000,0.0,static,0.0056,0.3221,0.2683,0,0
4,20,9466888,9466888,0,1,0.9359,0.2056,0.9359,0.2056,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5261,0.1444,0,0
4,21,10266888,10400222,133334,2,0.9773,0.2472,0.9664,0.2333,0.0000,0.0000,0.0000,0.0,static,0.0177,0.5373,0.2056,0,0
8,1,2266666,3333333,1066667,7,0.8797,0.2611,0.2469,0.4708,0.0000,0.0000,0.0000,0.0,L→R,0.6667,0.1549,0.5611,0,0
8,2,2266666,3466666,1200000,8,0.3461,0.1556,0.3461,0.1556,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3712,0.2201,0,0
8,3,2266666,3466666,1200000,6,0.4250,0.1125,0.4250,0.1125,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3344,0.1333,0,0
8,4,2266666,3466666,1200000,8,0.9578,0.2361,0.7328,0.2139,0.0000,0.0000,0.0000,0.0,L→R,0.2261,0.3689,0.2441,0,0
8,5,2400000,2400000,0,1,0.1937,0.0764,0.1937,0.0764,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5227,0.1250,0,0
8,6,3066666,3200000,133334,2,0.2797,0.0972,0.2813,0.1333,0.0000,0.0000,0.0000,0.0,static,0.0361,0.4270,0.1611,0,0
8,7,8666888,8666888,0,1,0.8687,0.2139,0.8687,0.2139,0.0000,0.0000,0.0000,0.0,static,0.0000,0.4667,0.2222,0,0
8,8,8666888,8666888,0,1,0.9500,0.2292,0.9500,0.2292,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5252,0.2750,0,0
8,9,8666888,8666888,0,1,0.3453,0.1556,0.3453,0.1556,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3776,0.2056,0,0
8,10,8666888,8666888,0,1,0.2625,0.1111,0.2625,0.1111,0.0000,0.0000,0.0000,0.0,static,0.0000,0.4557,0.1333,0,0
8,11,8666888,8666888,0,1,0.4203,0.1153,0.4203,0.1153,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3929,0.1139,0,0
8,12,9466888,9466888,0,1,0.7336,0.2972,0.7336,0.2972,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3093,0.5444,1,1
8,13,9466888,9600222,133334,2,0.6117,0.2667,0.6445,0.3319,0.0000,0.0000,0.0000,0.0,static,0.0731,0.2217,0.5542,0,0
8,14,9466888,10933555,1466667,12,0.3477,0.1556,0.3461,0.1458,0.0000,0.0000,0.0000,0.0,static,0.0098,0.3548,0.2123,0,0
8,15,9466888,10933555,1466667,12,0.0844,0.0931,0.0922,0.0958,0.0000,0.0000,0.0000,0.0,static,0.0083,0.5722,0.1120,0,0
8,16,9600222,9866888,266666,3,0.5141,0.2486,0.4406,0.4097,0.0000,0.0000,0.0000,0.0,L→R,0.1771,0.1081,0.6796,0,0
8,17,9600222,10933555,1333333,8,0.4180,0.1875,0.4203,0.1125,0.0000,0.0000,0.0000,0.0,static,0.0750,0.3231,0.1281,0,0
8,18,9733555,9733555,0,1,0.4156,0.3111,0.4156,0.3111,0.0000,0.0000,0.0000,0.0,static,0.0000,0.2069,0.5889,0,0
8,19,9866888,10000222,133334,2,0.2211,0.3292,0.2313,0.4764,0.0000,0.0000,0.0000,0.0,L→R,0.1476,0.2698,0.8056,0,0
8,20,10133555,10933555,800000,7,0.2680,0.1194,0.2711,0.1194,0.0000,0.0000,0.0000,0.0,static,0.0031,0.4441,0.1254,0,0
9,3,0,2266666,2266666,16,0.2695,0.1167,0.2797,0.1250,0.0000,0.0000,0.0000,0.0,static,0.0131,0.4345,0.1278,0,0
9,4,0,2400000,2400000,18,0.4203,0.1125,0.4250,0.1153,0.0000,0.0000,0.0000,0.0,static,0.0054,0.3899,0.1100,0,0
9,1,0,9066888,9066888,68,0.0922,0.0986,0.0906,0.1000,0.0000,0.0000,0.0000,0.0,static,0.0021,0.5691,0.1132,0,0
9,2,0,9066888,9066888,67,0.3477,0.1458,0.3492,0.1556,0.0000,0.0000,0.0000,0.0,static,0.0098,0.3692,0.2057,0,0
9,5,1066666,2800000,1733334,13,0.9281,0.2292,0.3148,0.3389,0.0000,0.0000,0.0000,0.0,L→R,0.6230,0.2052,0.3577,1,2
9,6,2533333,4266777,1733444,13,0.9805,0.2736,0.2344,0.4528,0.0000,0.0000,0.0000,0.0,L→R,0.7673,0.0988,0.4996,1,1
9,7,3066666,9066888,6000222,43,0.2750,0.1167,0.2688,0.1222,0.0000,0.0000,0.0000,0.0,static,0.0084,0.4385,0.1371,0,0
9,8,3066666,9066888,6000222,45,0.4242,0.1153,0.4219,0.1181,0.0000,0.0000,0.0000,0.0,static,0.0036,0.3831,0.1139,0,0
9,9,5733444,7200111,1466667,12,0.1875,0.0833,0.1891,0.0847,0.0000,0.0000,0.0000,0.0,static,0.0021,0.5155,0.1292,0,0
9,10,10533555,10933555,400000,4,0.9594,0.2556,0.9047,0.2778,0.0000,0.0000,0.0000,0.0,static,0.0590,0.4617,0.2319,0,0
9,11,10533555,10933555,400000,4,0.3492,0.1556,0.3477,0.1486,0.0000,0.0000,0.0000,0.0,static,0.0071,0.3760,0.2035,0,0
9,12,10533555,10933555,400000,4,0.0938,0.0958,0.0875,0.0931,0.0000,0.0000,0.0000,0.0,static,0.0068,0.5731,0.1153,0,0
9,13,10533555,10933555,400000,4,0.4219,0.1125,0.4234,0.1153,0.0000,0.0000,0.0000,0.0,static,0.0032,0.3858,0.1125,0,0
9,14,10666888,10933555,266667,2,0.2672,0.1194,0.2703,0.1194,0.0000,0.0000,0.0000,0.0,static,0.0031,0.4445,0.1278,0,0
10,1,0,1066666,1066666,6,0.9039,0.2778,0.5938,0.3431,0.0000,0.0000,0.0000,0.0,L→R,0.3170,0.1828,0.3278,0,0
10,2,0,7200111,7200111,39,0.3461,0.1528,0.3508,0.1556,0.0000,0.0000,0.0000,0.0,static,0.0054,0.3706,0.1957,0,0
10,3,0,7200111,7200111,42,0.0891,0.0931,0.0875,0.1014,0.0000,0.0000,0.0000,0.0,static,0.0085,0.5694,0.1064,0,0
10,4,0,6800111,6800111,33,0.4250,0.1181,0.1609,0.3500,0.0000,0.0000,0.0000,0.0,L→R,0.3515,0.2407,0.1701,0,0
10,5,1600000,1600000,0,1,0.1953,0.4222,0.1953,0.4222,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3145,0.7444,1,1
10,6,1600000,7200111,5600111,35,0.2891,0.1333,0.2695,0.1056,0.0000,0.0000,0.0000,0.0,static,0.0340,0.4230,0.1321,0,0
10,7,2000000,3466666,1466666,10,0.9688,0.2708,0.3469,0.4889,0.0000,0.0000,0.0000,0.0,L→R,0.6590,0.0868,0.6075,1,1
10,8,3733444,7200111,3466667,23,0.1820,0.0750,0.1828,0.0792,0.0000,0.0000,0.0000,0.0,static,0.0042,0.5265,0.1257,0,0
10,9,4400111,6400111,2000000,13,0.9078,0.2333,0.4695,0.2486,0.0000,0.0000,0.0000,0.0,L→R,0.4385,0.2355,0.2863,1,1
10,10,6933444,7200111,266667,3,0.4344,0.1111,0.4336,0.1153,0.0000,0.0000,0.0000,0.0,static,0.0042,0.3904,0.1102,0,0
