# 2026-asicsmeta-full-1.mp4 · Face + Person · litert_npu
# passages=139 movedThrough=10 captured=32 chunks=14
# a track is one continuous sighting, not one person — bystanders are tracked, chunk boundaries split a runner in two, and there is no re-identification
chunk,track,firstUs,lastUs,durationUs,frames,firstX,firstY,lastX,lastY,velX,velY,speed,directionDeg,direction,displacement,closestToCentre,meanHeight,captured,photos
1,1,6000111,6000111,0,1,0.6633,0.2875,0.6633,0.2875,0.0000,0.0000,0.0000,0.0,static,0.0000,0.2680,0.5083,1,1
1,2,6000111,6000111,0,1,0.3461,0.1528,0.3461,0.1528,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3798,0.2000,0,0
1,3,6000111,6000111,0,1,0.1891,0.0861,0.1891,0.0861,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5177,0.1278,0,0
1,4,6000111,6000111,0,1,0.0859,0.1000,0.0859,0.1000,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5757,0.1111,0,0
1,5,6000111,6000111,0,1,0.2656,0.1056,0.2656,0.1056,0.0000,0.0000,0.0000,0.0,static,0.0000,0.4588,0.1333,0,0
2,1,8000222,8266888,266666,3,0.8484,0.3250,0.7367,0.3958,0.0000,0.0000,0.0000,0.0,L→R,0.1323,0.2586,0.5852,1,3
2,2,8000222,8266888,266666,3,0.3461,0.1583,0.3453,0.1556,0.0000,0.0000,0.0000,0.0,static,0.0029,0.3747,0.2037,0,0
2,3,8000222,8266888,266666,3,0.0859,0.1014,0.0859,0.1000,0.0000,0.0000,0.0000,0.0,static,0.0014,0.5748,0.1139,0,0
2,4,8000222,8266888,266666,3,0.2656,0.1222,0.2656,0.1222,0.0000,0.0000,0.0000,0.0,static,0.0000,0.4446,0.1444,0,0
2,5,8133555,8133555,0,1,0.9375,0.2208,0.9375,0.2208,0.0000,0.0000,0.0000,0.0,static,0.0000,0.5190,0.1750,0,0
3,1,6533444,7333555,800111,5,0.8352,0.3083,0.4547,0.4028,0.0000,0.0000,0.0000,0.0,L→R,0.3920,0.1073,0.5483,1,3
3,2,6533444,7200111,666667,3,0.4211,0.1764,0.4203,0.1792,0.0000,0.0000,0.0000,0.0,static,0.0029,0.3306,0.2407,0,0
3,3,6533444,7333555,800111,5,0.0859,0.1000,0.0891,0.1000,0.0000,0.0000,0.0000,0.0,static,0.0031,0.5715,0.1133,0,0
3,4,6533444,7200111,666667,4,0.2883,0.1306,0.2859,0.1250,0.0000,0.0000,0.0000,0.0,static,0.0060,0.4258,0.1639,0,0
3,5,6800111,7333555,533444,4,0.3508,0.1472,0.3516,0.1583,0.0000,0.0000,0.0000,0.0,static,0.0111,0.3710,0.2069,0,0
4,1,3066666,3066666,0,1,0.7086,0.2569,0.7086,0.2569,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3203,0.3972,1,1
4,2,3066666,3066666,0,1,0.3477,0.1514,0.3477,0.1514,0.0000,0.0000,0.0000,0.0,static,0.0000,0.3804,0.2028,0,0
