# 2026-asicsmeta-full-1.mp4 · Face + Person · litert_npu · minFaceScore=0.6341 (logit 0.5500)
# weights sharpness=0.4 size=0.2 centre=0.15 confidence=0.15 framing=0.1
file,chunk,ptsUs,score,scoreLogit,sharpness,subjectRatio,quality,qSharpness,qSize,qCentre,qConfidence,qFraming,track
person_c015_1333333.jpg,15,754371466,0.6711,0.7131,215.42,0.0722,0.6559,0.7682,0.6019,0.2167,0.7867,0.7778,260
person_c015_1466666.jpg,15,754504799,0.6771,0.7406,234.77,0.0917,0.6733,0.7832,0.7639,0.2361,0.7938,0.5278,260
person_c015_4400111.jpg,15,757438244,0.6771,0.7406,87.19,0.0444,0.4929,0.5729,0.3704,0.1556,0.7938,0.4722,264
person_c015_10133555.jpg,15,763171688,0.6527,0.6308,132.52,0.0556,0.5735,0.6709,0.4630,0.1889,0.7652,0.6944,271
person_c015_10400222.jpg,15,763438355,0.6527,0.6308,112.30,0.0694,0.5298,0.6334,0.5787,0.1583,0.7652,0.2222,277
person_c016_1066666.jpg,16,765105132,0.6771,0.7406,129.47,0.0750,0.6372,0.6658,0.6250,0.2528,0.7938,0.8889,283
person_c016_1200000.jpg,16,765238466,0.6401,0.5760,107.38,0.0806,0.6253,0.6229,0.6713,0.3250,0.7505,0.8056,283
person_c016_1733333.jpg,16,765771799,0.6589,0.6583,90.23,0.0667,0.5117,0.5813,0.5556,0.1444,0.7724,0.3056,284
person_c017_3066666.jpg,17,778105454,0.7231,0.9600,118.17,0.0722,0.5936,0.6451,0.6019,0.2167,0.8477,0.5556,299
person_c017_3200000.jpg,17,778238788,0.7176,0.9326,161.26,0.1028,0.6824,0.7127,0.8565,0.2583,0.8413,0.6111,299
person_c017_6266777.jpg,17,781305565,0.6650,0.6857,81.65,0.0500,0.5144,0.5568,0.4167,0.1833,0.7796,0.6389,305
person_c017_5600111.jpg,17,780638899,0.6464,0.6034,107.33,0.0806,0.5680,0.6228,0.6713,0.2139,0.7578,0.3889,309
person_c017_7866888.jpg,17,782905676,0.6711,0.7131,185.68,0.0500,0.5512,0.7407,0.4167,0.1167,0.7867,0.3611,312
person_c017_8400222.jpg,17,783439010,0.6401,0.5760,73.15,0.0556,0.5042,0.5295,0.4630,0.2111,0.7505,0.5556,313
person_c017_8666888.jpg,17,783705676,0.6711,0.7131,115.22,0.0694,0.5460,0.6393,0.5787,0.1917,0.7867,0.2778,313
person_c017_8933555.jpg,17,783972343,0.6831,0.7680,813.59,0.1028,0.7189,0.9260,0.8565,0.2139,0.8008,0.2500,313
person_c019_7466888.jpg,19,804506321,0.6890,0.7954,214.25,0.0667,0.5908,0.7672,0.5556,0.1222,0.8077,0.3333,336
person_c019_9066888.jpg,19,806106321,0.6771,0.7406,104.15,0.0667,0.5854,0.6157,0.5556,0.2444,0.7938,0.7222,341
person_c019_9200222.jpg,19,806239655,0.7006,0.8503,147.99,0.0722,0.5990,0.6948,0.6019,0.1833,0.8214,0.5000,341
person_c019_9333555.jpg,19,806372988,0.6948,0.8228,142.39,0.0806,0.5954,0.6866,0.6713,0.2250,0.8146,0.3056,341
person_c021_10000222.jpg,21,829040310,0.7006,0.8503,105.78,0.0694,0.5682,0.6194,0.5787,0.1917,0.8214,0.5278,367
person_c021_10133555.jpg,21,829173643,0.7006,0.8503,157.18,0.0917,0.6105,0.7074,0.7639,0.1583,0.8214,0.2778,367
person_c022_400000.jpg,22,830440411,0.6401,0.5760,123.17,0.0500,0.5652,0.6546,0.4167,0.2167,0.7505,0.7500,372
person_c022_6266777.jpg,22,836307188,0.6650,0.6857,83.94,0.0667,0.5568,0.5636,0.5556,0.2444,0.7796,0.6667,378
person_c022_5600111.jpg,22,835640522,0.6401,0.5760,209.49,0.0778,0.5969,0.7632,0.6481,0.1444,0.7505,0.2778,382
